label
<OOV>
ve
için
bir
yeni
son
oldu
ile
ölü
1
2
3
açıklaması
yaralı
bin
5
en
4
etti
ne
ilk
erdoğan
yıl
çıktı
bu
türkiye
daha
türk
abd
başkanı
milyon
dolar
kişi
saldırı
6
cumhurbaşkanı
kadar
10
i̇stanbul'da
bulundu
operasyonu
yok
de
da
kararı
i̇stanbul
belli
sonra
başladı
uyarısı
var
açıklama
öldü
7
dakika
eski
çok
altın
gözaltı
büyük
iki
şehit
edildi
8
polis
hapis
bakanı
kaybetti
geliyor
aldı
değil
yüzde
yakalandı
daki̇ka
bakan
çocuk
seçim
tutuklandı
hayatını
gün
kez
kadın
verdi
mı
15
milyar
kaza
9
mi
yangın
fenerbahçe
hava
nasıl
özel
karşı
ilgili
deprem
tepki
fiyatları
açıklandı
dikkat
açıkladı
olacak
geldi
milli
geri
dünya
kılıçdaroğlu
i̇şte
başbakan
silahlı
cezası
ak
yaptı
fetö
chp
başlıyor
12
sonuçları
iddiası
düştü
yıldırım
tarihi
ceza
2019
karar
her
alındı
asker
beşiktaş
yaşındaki
20
galatasaray
zaman
terör
lira
yeniden
davasında
trafik
askeri
genel
otomobil
günü
türkiye'ye
destek
haber
kuzey
hakkında
iyi
parti
11
erdoğan'dan
el
trump
i̇ran
bugün
türkiye'nin
yine
öldürdü
sağlık
kazası
geçti
terörist
yanıt
rusya
suriye
çağrısı
neden
ay
devlet
can
dışişleri
ab
gibi
sayısı
görüştü
30
mesajı
o
film
serbest
i̇srail
kaldı
avrupa
2018
tek
abd'den
genç
öldürüldü
yıllık
istifa
devam
13
belediye
euro
ediyor
saat
ankara'da
önce
gözaltına
devrildi
çeyrek
operasyon
abd'de
artık
vurdu
intihar
kabul
100
para
başkan
14
mehmet
iş
ziyaret
oluyor
ankara
türkiye'de
ikinci
tutuklama
üç
açıldı
ilişkin
rekor
suudi
arasında
altında
ele
elektrik
kavga
araç
16
hale
fazla
döndü
su
tahliye
17
iptal
deniz
bahçeli
patlama
saldırısı
kaçak
dünyanın
süper
veda
hdp
eden
olan
sonrası
i̇ki
çarptı
kar
yol
getirildi
savaş
güvenlik
aday
50
krizi
cinsel
önemli
kalp
yasağı
ünlü
chp'li
anne
girdi
zam
ali
25
kötü
maç
ama
rus
bomba
işi̇d
ağır
sona
hangi
öğrenci
meteoroloji'den
ortaya
kayıp
uyuşturucu
kız
lideri
düşen
davutoğlu
18
i̇zmir'de
istedi
pkk
kanser
ölüm
